Game Name,Release Date,Price,Price Category
A Plague Tale: Innocence,"14 May, 2019","CDN$ 49.99
CDN$ 12.49",on sale
Age of Empires IV,"28 Oct, 2021",CDN$ 79.99,on regular price
Age of Empires IV,"28 Oct, 2021",CDN$ 79.99,on regular price
BIOMUTANT,"25 May, 2021","CDN$ 59.99
CDN$ 29.99",on sale
Back 4 Blood,"12 Oct, 2021",CDN$ 79.99,on regular price
Barotrauma,"5 Jun, 2019","CDN$ 38.99
CDN$ 9.74",on sale
Battlefield™ 2042,"19 Nov, 2021",CDN$ 79.99,on regular price
CS:GO - Operation Riptide,"21 Sep, 2021",CDN$ 18.99,on regular price
Century - Behemoth Founder's Pack,"2 Dec, 2021",CDN$ 74.29,on regular price
Cyberpunk 2077,"9 Dec, 2020",CDN$ 79.99,on regular price
Destiny 2: Bungie 30th Anniversary Pack,"7 Dec, 2021",CDN$ 31.99,on regular price
Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle,"22 Feb, 2022",CDN$ 124.99,on regular price
Escape Simulator,"19 Oct, 2021",CDN$ 17.49,on regular price
Expansion - Hearts of Iron IV: No Step Back,"23 Nov, 2021",CDN$ 22.79,on regular price
FINAL FANTASY XIV Online,"18 Feb, 2014",CDN$ 24.99,on regular price
FINAL FANTASY XIV: Endwalker,"7 Dec, 2021",CDN$ 49.99,on regular price
FINAL FANTASY XIV: Endwalker,"7 Dec, 2021",CDN$ 49.99,on regular price
Factorio,"14 Aug, 2020",CDN$ 34.00,on regular price
Farming Simulator 22,"22 Nov, 2021",CDN$ 59.99,on regular price
Farming Simulator 22 - Year 1 Bundle,,CDN$ 106.68,on regular price
Fights in Tight Spaces,"2 Dec, 2021","CDN$ 28.99
CDN$ 26.09",on sale
Forza Horizon 5,"8 Nov, 2021",CDN$ 79.99,on regular price
Gloomhaven,"20 Oct, 2021","CDN$ 39.99
CDN$ 31.99",on sale
Grand Theft Auto V: Premium Edition,,CDN$ 29.98,on regular price
Halo Infinite (Campaign),"Dec, 8 2021",CDN$ 79.99,on regular price
ICARUS,"3 Dec, 2021","CDN$ 33.99
CDN$ 30.59",on sale
Inscryption,"19 Oct, 2021",CDN$ 22.79,on regular price
New World,"28 Sep, 2021",CDN$ 49.99,on regular price
No Man's Sky,"12 Aug, 2016","CDN$ 66.49
CDN$ 33.24",on sale
Pathfinder: Kingmaker - Imperial Edition Bundle,,"CDN$ 53.75
CDN$ 21.85",on sale
Pathfinder: Wrath of the Righteous,"2 Sep, 2021",CDN$ 59.99,on regular price
Phasmophobia,"18 Sep, 2020",CDN$ 15.49,on regular price
PowerWash Simulator,"19 May, 2021",CDN$ 22.79,on regular price
Propnight,"1 Dec, 2021",CDN$ 22.79,on regular price
Rust,"8 Feb, 2018",CDN$ 50.49,on regular price
Satisfactory,"8 Jun, 2020",CDN$ 33.99,on regular price
Sea of Thieves,"3 Jun, 2020",CDN$ 49.99,on regular price
Stardew Valley,"26 Feb, 2016",CDN$ 16.99,on regular price
Teardown,"29 Oct, 2020","CDN$ 22.79
CDN$ 18.23",on sale
Terraria,"16 May, 2011",CDN$ 10.99,on regular price
The Elder Scrolls V: Skyrim Anniversary Upgrade,"11 Nov, 2021",CDN$ 26.99,on regular price
The Forest,"30 Apr, 2018",CDN$ 22.79,on regular price
The Jackbox Party Pack 8,"13 Oct, 2021",CDN$ 33.99,on regular price
Titan Quest Bundle,,"CDN$ 97.96
CDN$ 85.82",on sale
Titan Quest: Eternal Embers,"3 Dec, 2021","CDN$ 25.99
CDN$ 23.39",on sale
Valheim,"2 Feb, 2021",CDN$ 22.79,on regular price
Valve Index VR Kit,"28 Jun, 2019","CDN$ 1,319.00",on regular price
Wartales,"1 Dec, 2021","CDN$ 39.99
CDN$ 35.99",on sale
WorldBox - God Simulator,"2 Dec, 2021",CDN$ 22.79,on regular price
XCOM: Ultimate Collection,,"CDN$ 280.69
CDN$ 23.92",on sale
